date_formatted,starting_time_formatted,ending_time_formatted,date,starting_time,ending_time,duration_millis
2012-11-28 00:00:00.000,2012-11-28 17:12:41.087,2012-11-28 17:22:00.120,1354078800000,1354140761087,1354141320120,559033
2012-11-29 00:00:00.000,2012-11-29 09:24:15.294,2012-11-29 09:27:15.333,1354165200000,1354199055294,1354199235333,180039
2012-11-29 00:00:00.000,2012-11-29 11:18:38.599,2012-11-29 11:19:21.350,1354165200000,1354205918599,1354205961350,42751
2012-11-29 00:00:00.000,2012-11-29 11:56:16.677,2012-11-29 12:05:04.705,1354165200000,1354208176677,1354208704705,528028
2012-11-29 00:00:00.000,2012-11-29 12:07:54.114,2012-11-29 12:15:41.154,1354165200000,1354208874114,1354209341154,467040
2012-11-29 00:00:00.000,2012-11-29 12:20:13.634,2012-11-29 12:23:14.916,1354165200000,1354209613634,1354209794916,181282
2012-11-29 00:00:00.000,2012-11-29 12:28:02.128,2012-11-29 12:31:31.407,1354165200000,1354210082128,1354210291407,209279
2012-11-29 00:00:00.000,2012-11-29 13:05:48.245,2012-11-29 13:09:04.281,1354165200000,1354212348245,1354212544281,196036
2012-11-29 00:00:00.000,2012-11-29 13:21:49.107,2012-11-29 13:24:50.539,1354165200000,1354213309107,1354213490539,181432
2012-11-29 00:00:00.000,2012-11-29 13:40:40.881,2012-11-29 13:53:07.939,1354165200000,1354214440881,1354215187939,747058
2012-11-29 00:00:00.000,2012-11-29 13:59:19.999,2012-11-29 13:59:20.585,1354165200000,1354215559999,1354215560585,586
2012-11-29 00:00:00.000,2012-11-29 14:00:56.983,2012-11-29 14:06:36.016,1354165200000,1354215656983,1354215996016,339033
2012-11-29 00:00:00.000,2012-11-29 14:30:32.124,2012-11-29 14:34:16.468,1354165200000,1354217432124,1354217656468,224344
2012-11-29 00:00:00.000,2012-11-29 16:56:07.368,2012-11-29 16:59:24.402,1354165200000,1354226167368,1354226364402,197034
2012-11-29 00:00:00.000,2012-11-29 17:07:26.800,2012-11-29 17:10:29.228,1354165200000,1354226846800,1354227029228,182428
2012-11-29 00:00:00.000,2012-11-29 17:16:11.817,2012-11-29 17:19:34.876,1354165200000,1354227371817,1354227574876,203059
2012-11-29 00:00:00.000,2012-11-29 17:41:47.860,2012-11-29 17:44:50.892,1354165200000,1354228907860,1354229090892,183032
2012-11-29 00:00:00.000,2012-11-29 17:58:01.840,2012-11-29 18:02:47.994,1354165200000,1354229881840,1354230167994,286154
2012-11-29 00:00:00.000,2012-11-29 18:08:12.423,2012-11-29 18:22:08.515,1354165200000,1354230492423,1354231328515,836092
2012-11-29 00:00:00.000,2012-11-29 18:35:09.389,2012-11-29 18:41:34.399,1354165200000,1354232109389,1354232494399,385010
2012-11-30 00:00:00.000,2012-11-30 09:26:40.859,2012-11-30 09:29:47.894,1354251600000,1354285600859,1354285787894,187035
2012-11-30 00:00:00.000,2012-11-30 09:31:17.503,2012-11-30 09:34:23.536,1354251600000,1354285877503,1354286063536,186033
2012-11-30 00:00:00.000,2012-11-30 09:46:00.686,2012-11-30 09:46:09.320,1354251600000,1354286760686,1354286769320,8634
2012-11-30 00:00:00.000,2012-11-30 09:46:13.669,2012-11-30 09:46:27.112,1354251600000,1354286773669,1354286787112,13443
2012-11-30 00:00:00.000,2012-11-30 09:46:34.146,2012-11-30 09:48:13.959,1354251600000,1354286794146,1354286893959,99813
2012-11-30 00:00:00.000,2012-11-30 09:51:05.516,2012-11-30 09:51:05.516,1354251600000,1354287065516,1354287065516,0
2012-11-30 00:00:00.000,2012-11-30 09:51:24.451,2012-11-30 09:51:24.451,1354251600000,1354287084451,1354287084451,0
2012-11-30 00:00:00.000,2012-11-30 09:55:19.225,2012-11-30 09:56:49.257,1354251600000,1354287319225,1354287409257,90032
2012-11-30 00:00:00.000,2012-11-30 10:14:43.820,2012-11-30 10:17:19.166,1354251600000,1354288483820,1354288639166,155346
2012-11-30 00:00:00.000,2012-11-30 10:20:15.228,2012-11-30 10:23:27.892,1354251600000,1354288815228,1354289007892,192664
2012-11-30 00:00:00.000,2012-11-30 10:26:44.725,2012-11-30 10:31:27.760,1354251600000,1354289204725,1354289487760,283035
2012-11-30 00:00:00.000,2012-11-30 10:38:52.558,2012-11-30 10:41:38.618,1354251600000,1354289932558,1354290098618,166060
2012-11-30 00:00:00.000,2012-11-30 10:42:52.215,2012-11-30 10:52:33.248,1354251600000,1354290172215,1354290753248,581033
2012-11-30 00:00:00.000,2012-11-30 11:00:49.864,2012-11-30 11:05:53.901,1354251600000,1354291249864,1354291553901,304037
2012-11-30 00:00:00.000,2012-11-30 11:27:19.695,2012-11-30 11:29:14.725,1354251600000,1354292839695,1354292954725,115030
2012-11-30 00:00:00.000,2012-11-30 11:47:37.574,2012-11-30 11:50:44.612,1354251600000,1354294057574,1354294244612,187038
2012-11-30 00:00:00.000,2012-11-30 11:54:32.875,2012-11-30 11:56:44.911,1354251600000,1354294472875,1354294604911,132036
2012-11-30 00:00:00.000,2012-11-30 11:57:10.941,2012-11-30 11:59:54.973,1354251600000,1354294630941,1354294794973,164032
2012-11-30 00:00:00.000,2012-11-30 12:05:24.895,2012-11-30 12:08:11.958,1354251600000,1354295124895,1354295291958,167063
2012-11-30 00:00:00.000,2012-11-30 12:53:50.507,2012-11-30 12:57:52.537,1354251600000,1354298030507,1354298272537,242030
2012-11-30 00:00:00.000,2012-11-30 13:03:24.392,2012-11-30 13:05:50.421,1354251600000,1354298604392,1354298750421,146029
2012-11-30 00:00:00.000,2012-11-30 13:13:55.674,2012-11-30 13:16:52.739,1354251600000,1354299235674,1354299412739,177065
2012-11-30 00:00:00.000,2012-11-30 13:20:05.348,2012-11-30 13:21:45.377,1354251600000,1354299605348,1354299705377,100029
2012-11-30 00:00:00.000,2012-11-30 13:23:38.434,2012-11-30 13:27:44.820,1354251600000,1354299818434,1354300064820,246386
2012-11-30 00:00:00.000,2012-11-30 14:17:59.705,2012-11-30 14:23:51.770,1354251600000,1354303079705,1354303431770,352065
2012-11-30 00:00:00.000,2012-11-30 14:30:01.812,2012-11-30 14:33:33.842,1354251600000,1354303801812,1354304013842,212030
2012-11-30 00:00:00.000,2012-11-30 15:15:48.365,2012-11-30 15:23:44.679,1354251600000,1354306548365,1354307024679,476314
2012-11-30 00:00:00.000,2012-11-30 15:47:51.565,2012-11-30 15:49:21.569,1354251600000,1354308471565,1354308561569,90004
2012-11-30 00:00:00.000,2012-11-30 16:13:50.103,2012-11-30 16:17:28.561,1354251600000,1354310030103,1354310248561,218458
2012-11-30 00:00:00.000,2012-11-30 16:19:48.265,2012-11-30 16:21:24.291,1354251600000,1354310388265,1354310484291,96026
