date_formatted,starting_time_formatted,ending_time_formatted,date,starting_time,ending_time,duration_millis,num_interest_point_selections,num_theme_selections,num_taps,num_animation_starts,num_animation_stops,num_reset_home_view
2012-11-23 00:00:00.000,2012-11-23 12:12:30.593,2012-11-23 12:24:58.660,1353646800000,1353690750593,1353691498660,748067,26,1,0,77,77,13
2012-11-23 00:00:00.000,2012-11-23 12:27:36.359,2012-11-23 12:52:48.488,1353646800000,1353691656359,1353693168488,1512129,11,12,0,101,101,16
2012-11-23 00:00:00.000,2012-11-23 12:53:16.330,2012-11-23 13:03:57.389,1353646800000,1353693196330,1353693837389,641059,9,7,0,94,94,14
2012-11-23 00:00:00.000,2012-11-23 13:09:21.560,2012-11-23 13:17:21.621,1353646800000,1353694161560,1353694641621,480061,6,35,0,49,49,44
2012-11-23 00:00:00.000,2012-11-23 13:20:47.931,2012-11-23 13:43:15.108,1353646800000,1353694847931,1353696195108,1347177,55,12,0,167,168,38
2012-11-23 00:00:00.000,2012-11-23 13:44:37.696,2012-11-23 13:55:12.793,1353646800000,1353696277696,1353696912793,635097,7,6,0,20,19,18
2012-11-23 00:00:00.000,2012-11-23 14:06:59.600,2012-11-23 14:16:37.860,1353646800000,1353697619600,1353698197860,578260,14,2,0,60,61,12
2012-11-23 00:00:00.000,2012-11-23 14:22:27.663,2012-11-23 14:39:41.762,1353646800000,1353698547663,1353699581762,1034099,5,23,0,102,101,31
2012-11-23 00:00:00.000,2012-11-23 14:46:38.890,2012-11-23 14:57:23.952,1353646800000,1353699998890,1353700643952,645062,12,17,0,60,60,23
2012-11-23 00:00:00.000,2012-11-23 14:57:55.649,2012-11-23 15:02:01.714,1353646800000,1353700675649,1353700921714,246065,3,4,0,25,25,6
2012-11-23 00:00:00.000,2012-11-23 15:03:16.490,2012-11-23 15:06:55.915,1353646800000,1353700996490,1353701215915,219425,2,1,0,52,53,4
2012-11-23 00:00:00.000,2012-11-23 15:07:04.230,2012-11-23 15:10:12.236,1353646800000,1353701224230,1353701412236,188006,0,7,0,2,2,8
2012-11-23 00:00:00.000,2012-11-23 15:14:14.274,2012-11-23 15:17:50.613,1353646800000,1353701654274,1353701870613,216339,2,4,0,21,21,5
2012-11-23 00:00:00.000,2012-11-23 15:20:41.070,2012-11-23 15:25:25.095,1353646800000,1353702041070,1353702325095,284025,4,0,0,14,13,4
2012-11-23 00:00:00.000,2012-11-23 15:25:46.008,2012-11-23 15:33:20.077,1353646800000,1353702346008,1353702800077,454069,1,0,0,35,35,1
2012-11-23 00:00:00.000,2012-11-23 15:36:44.594,2012-11-23 15:47:08.661,1353646800000,1353703004594,1353703628661,624067,23,7,0,57,57,18
2012-11-23 00:00:00.000,2012-11-23 15:52:57.012,2012-11-23 15:56:15.038,1353646800000,1353703977012,1353704175038,198026,0,0,0,2,2,1
2012-11-23 00:00:00.000,2012-11-23 16:01:58.491,2012-11-23 16:07:48.528,1353646800000,1353704518491,1353704868528,350037,4,14,0,20,20,15
2012-11-23 00:00:00.000,2012-11-23 16:14:01.541,2012-11-23 16:22:06.973,1353646800000,1353705241541,1353705726973,485432,7,8,0,78,79,18
2012-11-23 00:00:00.000,2012-11-23 16:30:25.590,2012-11-23 16:37:35.834,1353646800000,1353706225590,1353706655834,430244,15,13,0,37,37,39
2012-11-23 00:00:00.000,2012-11-23 16:40:48.558,2012-11-23 16:44:13.596,1353646800000,1353706848558,1353707053596,205038,0,1,0,3,2,3
2012-11-24 00:00:00.000,2012-11-24 09:23:51.551,2012-11-24 09:27:08.585,1353733200000,1353767031551,1353767228585,197034,1,0,0,4,3,1
2012-11-24 00:00:00.000,2012-11-24 10:56:01.255,2012-11-24 10:59:25.291,1353733200000,1353772561255,1353772765291,204036,2,0,1,3,3,1
2012-11-24 00:00:00.000,2012-11-24 11:09:26.396,2012-11-24 11:12:52.423,1353733200000,1353773366396,1353773572423,206027,0,0,1,7,7,1
2012-11-24 00:00:00.000,2012-11-24 11:17:14.196,2012-11-24 11:23:03.268,1353733200000,1353773834196,1353774183268,349072,5,3,8,11,11,6
2012-11-24 00:00:00.000,2012-11-24 11:50:15.248,2012-11-24 12:01:51.320,1353733200000,1353775815248,1353776511320,696072,3,0,8,53,53,3
2012-11-24 00:00:00.000,2012-11-24 12:04:25.004,2012-11-24 12:08:14.436,1353733200000,1353776665004,1353776894436,229432,0,1,0,65,66,3
2012-11-24 00:00:00.000,2012-11-24 12:17:22.624,2012-11-24 12:29:45.662,1353733200000,1353777442624,1353778185662,743038,13,11,22,57,56,14
2012-11-24 00:00:00.000,2012-11-24 12:34:15.345,2012-11-24 12:41:47.402,1353733200000,1353778455345,1353778907402,452057,2,7,3,27,27,8
2012-11-24 00:00:00.000,2012-11-24 12:44:53.763,2012-11-24 12:48:06.767,1353733200000,1353779093763,1353779286767,193004,0,4,0,9,10,5
2012-11-24 00:00:00.000,2012-11-24 13:01:04.041,2012-11-24 13:07:00.071,1353733200000,1353780064041,1353780420071,356030,3,4,6,24,23,6
2012-11-24 00:00:00.000,2012-11-24 13:11:25.417,2012-11-24 13:18:54.482,1353733200000,1353780685417,1353781134482,449065,18,3,12,55,55,4
2012-11-24 00:00:00.000,2012-11-24 13:22:44.196,2012-11-24 13:25:51.481,1353733200000,1353781364196,1353781551481,187285,0,2,0,20,21,3
2012-11-24 00:00:00.000,2012-11-24 13:28:05.549,2012-11-24 13:45:47.584,1353733200000,1353781685549,1353782747584,1062035,9,9,10,46,45,10
2012-11-24 00:00:00.000,2012-11-24 13:47:46.729,2012-11-24 13:52:09.159,1353733200000,1353782866729,1353783129159,262430,0,36,4,28,29,37
2012-11-24 00:00:00.000,2012-11-24 13:54:23.117,2012-11-24 13:57:43.149,1353733200000,1353783263117,1353783463149,200032,1,0,0,3,2,1
2012-11-24 00:00:00.000,2012-11-24 14:01:09.878,2012-11-24 14:15:29.911,1353733200000,1353783669878,1353784529911,860033,20,3,29,26,26,5
