date_formatted	starting_time_formatted	ending_time_formatted	date	starting_time	ending_time	duration_init_millis	duration_active_millis	duration_idle_millis	duration_error_millis	num_startups	num_tours	num_tour_46694	num_tour_79105	num_tour_79156	num_tour_79221	num_tour_80073	num_tour_89586	num_idle_periods	num_errors	num_reloads	
2012-07-31 00:00:00.000	2012-07-31 06:24:43.894	2012-07-31 21:53:50.850	1343692800000	1343715883894	1343771630850	74	15382161	39960334	86	4	271	50	61	34	33	46	47	268	4	2	
2012-08-01 00:00:00.000	2012-08-01 06:24:46.188	2012-08-01 21:53:17.440	1343779200000	1343802286188	1343857997440	39	8479932	46852812	0	2	148	19	43	22	15	29	20	150	0	0	
2012-08-02 00:00:00.000	2012-08-02 06:24:35.317	2012-08-02 21:53:23.878	1343865600000	1343888675317	1343944403878	79	10234052	44964844	44	4	180	30	45	20	25	29	31	182	2	1	
2012-08-03 00:00:00.000	2012-08-03 06:24:29.819	2012-08-03 21:53:34.917	1343952000000	1343975069819	1344030814917	56	22860128	32092049	84	3	399	58	92	48	65	70	66	398	4	2	
2012-08-04 00:00:00.000	2012-08-04 10:56:12.466	2012-08-04 21:53:34.745	1344038400000	1344077772466	1344117214745	21	13754101	25385586	0	1	243	47	50	39	35	32	40	241	0	0	
2012-08-05 00:00:00.000	2012-08-05 06:24:21.184	2012-08-05 23:59:47.760	1344124800000	1344147861184	1344211187760	96	14707809	48317180	1009	5	259	49	61	34	35	48	32	254	6	3	
2012-08-06 00:00:00.000	2012-08-06 00:00:00.770	2012-08-06 21:52:54.209	1344211200000	1344211200770	1344289974209	38	16625843	61478533	32	2	293	45	73	45	41	47	42	294	2	1	
2012-08-07 00:00:00.000	2012-08-07 06:24:27.532	2012-08-07 21:53:11.865	1344297600000	1344320667532	1344376391865	75	16032324	39272090	1035	4	283	43	74	40	40	44	42	280	4	2	
2012-08-08 00:00:00.000	2012-08-08 06:24:09.420	2012-08-08 21:53:10.823	1344384000000	1344407049420	1344462790823	95	17949030	37366814	1035	5	316	54	68	38	50	55	51	311	6	3	
2012-08-09 00:00:00.000	2012-08-09 06:24:04.383	2012-08-09 21:52:49.212	1344470400000	1344493444383	1344549169212	39	16186669	39187911	28	2	286	39	69	44	45	46	43	282	2	1	
